season,episode_number,title,airdate,rating,total_votes,description
1,1,Chapter One: The Vanishing of Will Byers,2016-07-15,8.5,24816,"At the U.S. Dept. of Energy an unexplained event occurs. Then when a young Dungeons and Dragons playing boy named Will disappears after a night with his friends, his mother Joyce and the town of Hawkins are plunged into darkness."
1,2,Chapter Two: The Weirdo on Maple Street,2016-07-15,8.4,22052,Mike hides the mysterious girl in his house. Joyce gets a strange phone call.
1,3,"Chapter Three: Holly, Jolly",2016-07-15,8.8,21898,An increasingly concerned Nancy looks for Barb and finds out what Jonathan's been up to. Joyce is convinced Will is trying to talk to her.
1,4,Chapter Four: The Body,2016-07-15,8.9,21480,"Refusing to believe Will is dead, Joyce tries to connect with her son. The boys give Eleven a makeover. Jonathan and Nancy form an unlikely alliance."
1,5,Chapter Five: The Flea and the Acrobat,2016-07-15,8.7,20353,"Hopper breaks into the lab to find the truth about Will's death. The boys try to locate the ""gate"" that will take them to Will."
1,6,Chapter Six: The Monster,2016-07-15,8.8,20225,"Hopper and Joyce find the truth about the lab's experiments. After their fight, the boys look for the missing Eleven."
1,7,Chapter Seven: The Bathtub,2016-07-15,9.0,21106,The government comes searching for Eleven. Eleven looks for Will and Barb in the Upside Down.
1,8,Chapter Eight: The Upside Down,2016-07-15,9.3,24887,Joyce and Hopper are taken in for questioning. Nancy and Jonathan prepare to fight the monster and save Will.
2,1,Chapter One: MADMAX,2017-10-27,8.2,19577,"As the town preps for Halloween, a high-scoring rival shakes things up at the arcade, and a skeptical Hopper inspects a field of rotting pumpkins."
2,2,"Chapter Two: Trick or Treat, Freak",2017-10-27,8.3,18278,"After Will sees something terrible on trick-or-treat night, Mike wonders whether Eleven's still out there. Nancy wrestles with the truth about Barb."
2,3,Chapter Three: The Pollywog,2017-10-27,8.5,17910,"Dustin adopts a strange new pet, and Eleven grows increasingly impatient. A well-meaning Bob urges Will to stand up to his fears."
2,4,Chapter Four: Will the Wise,2017-10-27,8.6,17679,"An ailing Will opens up to Joyce -- with disturbing results. While Hopper digs for the truth, Eleven unearths a surprising discovery."
2,5,Chapter Five: Dig Dug,2017-10-27,8.8,18076,"Nancy and Jonathan swap conspiracy theories with a new ally as Eleven searches for someone from her past. ""Bob the Brain"" tackles a difficult problem."
2,6,Chapter Six: The Spy,2017-10-27,9.1,19347,"Will's connection to a shadowy evil grows stronger but no one's quite sure how to stop it. Elsewhere, Dustin and Steve forge an unlikely bond."
2,7,Chapter Seven: The Lost Sister,2017-10-27,6.1,27598,Psychic visions draw Eleven to a band of violent outcasts and an angry girl with a shadowy past.
2,8,Chapter Eight: The Mind Flayer,2017-10-27,9.2,21040,"An unlikely hero steps forward when a deadly development puts the Hawkins lab on lockdown, trapping Will and several others inside."
2,9,Chapter Nine: The Gate,2017-10-27,9.3,23554,Eleven makes plans to finish what she started while the survivors turn up the heat on the monstrous force that's holding Will hostage.
3,1,"Chapter One: Suzie, Do You Copy?",2019-07-04,7.8,20916,"Summer brings new jobs and budding romance. But the mood shifts when Dustin's radio picks up a Russian broadcast, and Will senses something is wrong."
3,2,Chapter Two: The Mall Rats,2019-07-04,7.9,18935,"Nancy and Jonathan follow a lead, Steve and Robin sign on to a secret mission, and Max and Eleven go shopping. A rattled Billy has troubling visions."
3,3,Chapter Three: The Case of the Missing Lifeguard,2019-07-04,8.3,18340,"With El and Max looking for Billy, Will declares a day without girls. Steve and Dustin go on a stakeout, and Joyce and Hopper return to Hawkins Lab."
3,4,Chapter Four: The Sauna Test,2019-07-04,8.8,19693,"A code red brings the gang back together to face a frighteningly familiar evil. Karen urges Nancy to keep digging, and Robin finds a useful map."
3,5,Chapter Five: The Flayed,2019-07-04,8.5,17912,"Strange surprises lurk inside an old farmhouse and deep beneath the Starcourt Mall. Meanwhile, the Mind Flayer is gathering strength."
3,6,Chapter Six: E Pluribus Unum,2019-07-04,8.5,18054,"Dr. Alexei reveals what the Russians have been building, and Eleven sees where Billy has been. Dustin and Erica stage a daring rescue."
3,7,Chapter Seven: The Bite,2019-07-04,8.7,18657,"With time running out - and an assassin close behind - Hopper's crew races back to Hawkins, where El and the kids are preparing for war."
3,8,Chapter Eight: The Battle of Starcourt,2019-07-04,9.2,28448,"Terror reigns in the food court when the Mind Flayer comes to collect. But down below, in the dark, the future of the world is at stake."
4,1,Chapter One: The Hellfire Club,2022-05-27,8.1,20854,"Still reeling from the events last year, the gang tries to move on with their lives. However, a threat is brewing both on Earth and the Upside Down."
4,2,Chapter Two: Vecna's Curse,2022-05-27,8.1,18125,A plane brings Mike to California -- and a dead body brings Hawkins to a halt. Nancy goes looking for leads. A shaken Eddie tells the gang what he saw.
4,3,Chapter Three: The Monster and the Superhero,2022-05-27,8.3,17442,"Murray and Joyce fly to Alaska, and El faces serious consequences. Robin and Nancy dig up dirt on Hawkins' demons. Dr. Owens delivers sobering news."
4,4,Chapter Four: Dear Billy,2022-05-27,9.4,32861,"Max is in grave danger - and running out of time. A patient at Pennhurst asylum has visitors. Elsewhere, in Russia, Hopper is hard at work."
4,5,Chapter Five: The Nina Project,2022-05-27,8.1,16640,"Owens takes El to Nevada, where she's forced to confront her past, while the Hawkins kids comb a crumbling house for clues. Vecna claims another victim."
